Country of last residence [3],1820 to 1829,1830 to 1839,1840 to 1849,1850 to 1859,1860 to 1869,1870 to 1879,1880 to 1889,1890 to 1899,1900 to 1909,1910 to 1919,1920 to 1929,1930 to 1939,1940 to 1949,1950 to 1959,1960 to 1969,1970 to 1979,1980 to 1989,1990 to 1999,2000 to 2009,2010 to 2019,2020,2021
Total,99618,422853,1369423,2622617,1880389,2252050,4638684,3576411,7572569,4985411,2560340,444404,472524,1404973,1133443,826327,669694,1349219,1349609,906816,70284,60744
Austria-Hungary [4] [5],-,-,-,-,3375,60127,314787,534059,2001376,1154727,60891,13902,13677,113015,27590,20387,20437,27529,33929,30227,1144,1108
Austria [6] [7],-,-,-,-,2700,54529,204805,268218,532416,589174,31392,6678,8496,81354,17571,14239,15374,18234,21151,20314,415,408
Hungary [8] [9],-,-,-,-,483,5598,109982,203350,685567,565553,29499,7224,5181,31661,10019,6148,5063,9295,12778,9913,729,700
Belgium,28,20,3996,5765,5785,6991,18738,19642,37429,32574,21511,4013,12473,18885,9647,5413,7028,7077,8157,7473,653,651
Bulgaria [10],-,-,-,-,-,-,-,52,34651,27180,2824,1062,449,97,598,1011,1124,16948,40003,23571,1084,959
Czechoslovakia [11],-,-,-,-,-,-,-,-,-,-,101182,17757,8475,1624,2758,5654,5678,8970,18691,12641,887,810
Denmark,173,927,671,3227,13553,29278,85342,56671,61227,45830,34406,3470,4549,10918,9797,4405,4847,6189,6049,5200,441,351
Finland [12],-,-,-,-,3,286,9617,36719,-,-,16922,2438,2230,4923,4310,2829,2569,3970,3970,4279,325,345
France,7694,39330,75300,81778,35938,71901,48193,35616,67735,60335,54842,13761,36954,50113,46975,27018,32894,36552,45637,46745,4212,4234
Germany [13],5753,124726,385434,976072,723734,751769,1445181,579072,328722,174227,386634,117736,119403,576905,209616,77142,85752,92207,122373,62527,4220,4293
Greece,17,49,17,32,51,209,1807,12732,145402,198108,60774,10599,8605,45153,74173,102370,37729,25403,16841,13733,1001,859
Ireland [14],51617,170672,656145,1029486,427419,422264,674061,405710,344940,166445,201644,28195,15701,47189,37788,11461,22210,65384,15642,17090,1531,1421
Italy,430,2225,1476,8643,9853,46296,267660,603761,1930475,1229916,528133,85053,50509,189061,200111,150031,55562,75992,28329,35338,3346,3213
Netherlands,1105,1377,7624,11122,8387,14267,52715,29349,42463,46065,29397,7791,13877,46703,37918,10373,11234,13345,17351,13663,1019,1078
Norway-Sweden [15],91,1149,12389,22202,82937,178823,586441,334058,426981,192445,170329,13452,17326,44231,36150,10298,13941,17825,19382,15372,1188,1106
Norway [16],-,-,-,-,-,88644,185111,96810,182542,79488,70327,6901,8326,22813,17371,3927,3835,5211,4599,3591,274,244
Sweden [17],-,-,-,-,-,90179,401330,237248,244439,112957,100002,6551,9000,21418,18779,6371,10106,12614,14783,11781,914,862
Poland [18],19,366,105,1087,1886,11016,42910,107793,-,-,224420,26460,7774,6498,55773,33699,63483,172249,117921,55081,3222,2860
Portugal [19],252,896,359,4218,4741,13990,15189,25874,65154,82489,44829,3518,6765,13928,70568,104754,42685,25497,11479,8980,704,765
Romania,-,-,-,-,-,-,5842,6808,57322,13566,67810,5264,1254,914,2339,10774,24753,48136,52154,31521,1855,1726
Russia [20] [21] [22],86,280,520,423,1667,34977,173081,413382,1501301,1106998,61604,2473,605,453,2329,28132,33311,433427,167152,91813,8213,5344
Spain,2866,2016,1917,8803,6970,5571,3999,9189,24818,53262,47109,3669,2774,6880,40793,41718,22783,18443,17695,30941,2826,3015
Switzerland,3148,4430,4819,24423,21124,25212,81151,37020,32541,22839,31772,5990,9904,17577,19193,8536,8316,11768,12173,8969,690,698
United Kingdom [23],26336,74350,218572,445322,532956,578447,810900,328759,469518,371878,342762,61813,131794,195709,220213,133218,153644,156182,171979,139554,10398,9983
Yugoslavia [24],-,-,-,-,-,-,-,-,-,-,49215,6920,2039,6966,17990,31862,16267,57039,131831,47303,3444,2881
Other Europe,3,40,79,14,10,626,1070,145,514,6527,21330,9068,5387,7231,6814,5242,3447,29087,290871,204795,17881,13044
